call_number,barcode_status,content_status,message
17418234,skipped,updated,barcode: barcode already matches call_number | content: changed: poster
17614842,skipped,updated,barcode: barcode already matches call_number | content: changed: poster
69179386,skipped,updated,barcode: barcode already matches call_number | content: changed: poster
69081082,skipped,updated,barcode: barcode already matches call_number | content: changed: poster
82941946,skipped,updated,barcode: barcode already matches call_number | content: changed: poster
78991098,skipped,updated,barcode: barcode already matches call_number | content: changed: poster
69319674,skipped,updated,barcode: barcode already matches call_number | content: changed: poster
69024762,skipped,updated,barcode: barcode already matches call_number | content: changed: poster
69417978,skipped,updated,barcode: barcode already matches call_number | content: changed: poster
82909178,skipped,updated,barcode: barcode already matches call_number | content: changed: poster
69212154,skipped,updated,barcode: barcode already matches call_number | content: changed: poster
82614266,skipped,updated,barcode: barcode already matches call_number | content: changed: poster
85487098,skipped,updated,barcode: barcode already matches call_number | content: changed: poster
84798970,skipped,updated,barcode: barcode already matches call_number | content: changed: poster
69474298,skipped,updated,barcode: barcode already matches call_number | content: changed: poster
69549050,skipped,updated,barcode: barcode already matches call_number | content: changed: poster
03317498,skipped,updated,barcode: barcode already matches call_number | content: changed: poster
79023866,skipped,updated,barcode: barcode already matches call_number | content: changed: poster
85749242,skipped,updated,barcode: barcode already matches call_number | content: changed: poster
00112378,error,error,2 items matched this call number -- ambiguous
37436922,skipped,updated,barcode: barcode already matches call_number | content: changed: poster
37207546,skipped,updated,barcode: barcode already matches call_number | content: changed: poster
49545466,skipped,updated,barcode: barcode already matches call_number | content: changed: poster
00276218,skipped,updated,barcode: barcode already matches call_number | content: changed: poster
69146618,skipped,updated,barcode: barcode already matches call_number | content: changed: poster
00308986,skipped,updated,barcode: barcode already matches call_number | content: changed: poster
69244922,skipped,updated,barcode: barcode already matches call_number | content: changed: poster
84930042,skipped,updated,barcode: barcode already matches call_number | content: changed: poster
00145146,skipped,updated,barcode: barcode already matches call_number | content: changed: poster
82745338,skipped,updated,barcode: barcode already matches call_number | content: changed: poster
37535226,skipped,updated,barcode: barcode already matches call_number | content: changed: poster
79449850,skipped,updated,barcode: barcode already matches call_number | content: changed: poster
17787386,skipped,updated,barcode: barcode already matches call_number | content: changed: poster
69277690,skipped,updated,barcode: barcode already matches call_number | content: changed: poster
82810874,skipped,updated,barcode: barcode already matches call_number | content: changed: poster
00243450,skipped,updated,barcode: barcode already matches call_number | content: changed: poster
48627962,skipped,updated,barcode: barcode already matches call_number | content: changed: poster
82548730,skipped,updated,barcode: barcode already matches call_number | content: changed: poster
00341754,error,error,2 items matched this call number -- ambiguous
85126650,skipped,updated,barcode: barcode already matches call_number | content: changed: poster
82876410,skipped,updated,barcode: barcode already matches call_number | content: changed: poster
03022586,skipped,updated,barcode: barcode already matches call_number | content: changed: poster
69343226,skipped,updated,barcode: barcode already matches call_number | content: changed: poster
78499578,skipped,updated,barcode: barcode already matches call_number | content: changed: poster
82778106,skipped,updated,barcode: barcode already matches call_number | content: changed: poster
93294842,skipped,updated,barcode: barcode already matches call_number | content: changed: poster
83040250,skipped,updated,barcode: barcode already matches call_number | content: changed: poster
93491450,skipped,updated,barcode: barcode already matches call_number | content: changed: poster
16992250,skipped,updated,barcode: barcode already matches call_number | content: changed: poster
83499002,skipped,updated,barcode: barcode already matches call_number | content: changed: poster
28860666,skipped,updated,barcode: barcode already matches call_number | content: changed: poster
16631802,skipped,updated,barcode: barcode already matches call_number | content: changed: poster
93982970,skipped,updated,barcode: barcode already matches call_number | content: changed: poster
94081274,skipped,updated,barcode: barcode already matches call_number | content: changed: poster
16173050,skipped,updated,barcode: barcode already matches call_number | content: changed: poster
03415802,skipped,updated,barcode: barcode already matches call_number | content: changed: poster
49250554,skipped,updated,barcode: barcode already matches call_number | content: changed: poster
